depto;desc_depto;mpio;desc_mpio;edata_year;desc_pp_1;porc_part_mesa_1;desc_pp_2;porc_part_mesa_2;desc_pp_3;porc_part_mesa_3;pres_pp_bwon;pres_pp_blost;coa_pp_bwon;coa_pp_blost;margin_pres;sample_pres
1;ANTIOQUIA;43;BARBOSA;2011;PARTIDO LIBERAL COLOMBIANO;37.362742289697316;PARTIDO SOCIAL DE UNIDAD NACIONAL;24.486775517998662;NA;NA;0;1;1;1;-12.875966771698653;0
1;ANTIOQUIA;46;BELMIRA;2011;PARTIDO LIBERAL COLOMBIANO;47.96918767507003;PARTIDO CONSERVADOR COLOMBIANO;46.008403361344534;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;49;BELLO;2011;PARTIDO CONSERVADOR COLOMBIANO;37.271454290858166;NA;NA;NA;NA;0;0;1;0;NA;0
1;ANTIOQUIA;52;BETANIA;2011;PARTIDO LIBERAL COLOMBIANO;51.06215578284815;PARTIDO SOCIAL DE UNIDAD NACIONAL;45.712037765538945;NA;NA;0;1;1;1;-5.350118017309207;1
1;ANTIOQUIA;55;BETULIA;2011;PARTIDO CAMBIO RADICAL;47.626339969372125;PARTIDO LIBERAL COLOMBIANO;44.54823889739663;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;58;CIUDAD BOLIVAR;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;38.1322631886966;MOVIMIENTO DE INCLUSION Y OPORTUNIDADES;26.79541844327397;NA;NA;1;0;1;0;11.336844745422628;0
1;ANTIOQUIA;61;BURITICA;2011;PARTIDO LIBERAL COLOMBIANO;50.07032348804501;PARTIDO CONSERVADOR COLOMBIANO;46.952648851383024;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;62;BRICENO;2011;PARTIDO ALIANZA SOCIAL INDEPENDIENTE;44.04548174745661;PARTIDO LIBERAL COLOMBIANO;39.138240574506284;NA;NA;0;0;0;1;NA;0
1;ANTIOQUIA;64;CACERES;2011;PARTIDO LIBERAL COLOMBIANO;40.29802397149336;PARTIDO SOCIAL DE UNIDAD NACIONAL;28.84137782096966;NA;NA;0;1;1;1;-11.456646150523696;0
1;ANTIOQUIA;67;CAICEDO;2011;PARTIDO LIBERAL COLOMBIANO;49.01092412164157;PARTIDO SOCIAL DE UNIDAD NACIONAL;41.18689105403012;NA;NA;0;1;1;1;-7.8240330676114525;1
1;ANTIOQUIA;70;CALDAS;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;28.935541657500234;PARTIDO CONSERVADOR COLOMBIANO;26.257896225525627;NA;NA;1;0;1;1;2.6776454319746072;1
1;ANTIOQUIA;73;CAMPAMENTO;2011;PARTIDO ALIANZA SOCIAL INDEPENDIENTE;57.93935441799805;PARTIDO CONSERVADOR COLOMBIANO;29.540267362243235;NA;NA;0;0;0;1;NA;0
1;ANTIOQUIA;76;CANASGORDAS;2011;PARTIDO CONSERVADOR COLOMBIANO;65.77154308617234;MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA;26.225784903139616;NA;NA;0;0;1;0;NA;0
1;ANTIOQUIA;78;CARACOLI;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;38.35728952772074;PARTIDO CONSERVADOR COLOMBIANO;35.68788501026694;NA;NA;1;0;1;1;2.669404517453799;1
1;ANTIOQUIA;79;CARAMANTA;2011;PARTIDO ALIANZA SOCIAL INDEPENDIENTE;60.88560885608856;PARTIDO SOCIAL DE UNIDAD NACIONAL;36.592865928659286;NA;NA;0;1;0;1;-24.292742927429273;0
1;ANTIOQUIA;80;CAREPA;2011;PARTIDO DE INTEGRACION NACIONAL;38.463909581299774;PARTIDO SOCIAL DE UNIDAD NACIONAL;31.04032879527357;NA;NA;0;1;0;1;-7.4235807860262035;1
1;ANTIOQUIA;82;EL CARMEN DE VIBORAL;2011;PARTIDO ALIANZA SOCIAL INDEPENDIENTE;27.224449419482482;PARTIDO SOCIAL DE UNIDAD NACIONAL;23.861092310095277;NA;NA;0;1;0;1;-3.3633571093872057;1
1;ANTIOQUIA;85;CAROLINA;2011;PARTIDO LIBERAL COLOMBIANO;39.429407461594735;PARTIDO SOCIAL DE UNIDAD NACIONAL;32.88222384784199;NA;NA;0;1;1;1;-6.547183613752743;1
1;ANTIOQUIA;88;CAUCASIA;2011;PARTIDO CAMBIO RADICAL;46.37434049671857;PARTIDO LIBERAL COLOMBIANO;28.844421567365846;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;91;CISNEROS;2011;PARTIDO CONSERVADOR COLOMBIANO;50.01730103806228;PARTIDO LIBERAL COLOMBIANO;37.491349480968864;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;94;COCORNA;2011;PARTIDO CONSERVADOR COLOMBIANO;47.585513078470825;PARTIDO ALIANZA SOCIAL INDEPENDIENTE;42.36849669445243;NA;NA;0;0;1;0;NA;0
1;ANTIOQUIA;97;CONCEPCION;2011;PARTIDO CAMBIO RADICAL;31.386861313868614;PARTIDO CONSERVADOR COLOMBIANO;26.542800265428003;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;100;CONCORDIA;2011;PARTIDO LIBERAL COLOMBIANO;62.646303168712535;PARTIDO SOCIAL DE UNIDAD NACIONAL;29.16071938338567;NA;NA;0;1;1;1;-33.48558378532687;0
1;ANTIOQUIA;103;COPACABANA;2011;MOVIMIENTO DE INCLUSION Y OPORTUNIDADES;34.68034839028174;PARTIDO CONSERVADOR COLOMBIANO;24.743467682217286;NA;NA;0;0;0;1;NA;0
1;ANTIOQUIA;106;CHIGORODO;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;53.45685840707964;PARTIDO DE INTEGRACION NACIONAL;32.40228613569322;NA;NA;1;0;1;0;21.054572271386427;0
1;ANTIOQUIA;109;DABEIBA;2011;PARTIDO LIBERAL COLOMBIANO;46.61952611338543;PARTIDO ALIANZA SOCIAL INDEPENDIENTE;32.32849522391763;NA;NA;0;0;1;0;NA;0
1;ANTIOQUIA;112;DON MATIAS;2011;PARTIDO CONSERVADOR COLOMBIANO;49.213161659513595;PARTIDO ALIANZA SOCIAL INDEPENDIENTE;45.5155716958292;NA;NA;0;0;1;0;NA;0
1;ANTIOQUIA;115;EBEJICO;2011;PARTIDO LIBERAL COLOMBIANO;42.5705329153605;PARTIDO SOCIAL DE UNIDAD NACIONAL;35.156739811912225;NA;NA;0;1;1;1;-7.413793103448278;1
1;ANTIOQUIA;117;EL BAGRE;2011;MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA;28.70600549522439;PARTIDO CAMBIO RADICAL;23.17152950412142;NA;NA;0;0;0;1;NA;0
1;ANTIOQUIA;118;ENTRERRIOS;2011;PARTIDO DE LA U - PARTIDO CONSERVADOR COLOMBIANO;43.271879635516;PARTIDO LIBERAL COLOMBIANO;36.787454969273156;NA;NA;1;0;1;1;6.484424666242845;1
1;ANTIOQUIA;121;ENVIGADO;2011;PARTIDO LIBERAL COLOMBIANO;57.55641961750418;PARTIDO SOCIAL DE UNIDAD NACIONAL;24.842440612230764;NA;NA;0;1;1;1;-32.713979005273416;0
1;ANTIOQUIA;124;FREDONIA;2011;PARTIDO CONSERVADOR COLOMBIANO;38.57733854286371;PARTIDO SOCIAL DE UNIDAD NACIONAL;22.454608136060674;NA;NA;0;1;1;1;-16.122730406803033;0
1;ANTIOQUIA;127;FRONTINO;2011;PARTIDO LIBERAL COLOMBIANO;56.7021803766105;PARTIDO CONSERVADOR COLOMBIANO - PARTIDO DE LA U;26.39990089197225;NA;NA;0;1;1;1;-30.302279484638248;0
1;ANTIOQUIA;130;GIRALDO;2011;PARTIDO CONSERVADOR COLOMBIANO;58.33648393194707;PARTIDO SOCIAL DE UNIDAD NACIONAL;36.635160680529296;NA;NA;0;1;1;1;-21.701323251417776;0
1;ANTIOQUIA;133;GIRARDOTA;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;41.89257373514976;PARTIDO CONSERVADOR COLOMBIANO;35.635980000917385;NA;NA;1;0;1;1;6.256593734232375;1
1;ANTIOQUIA;136;GOMEZ PLATA;2011;PARTIDO CAMBIO RADICAL;28.76898662434822;PARTIDO SOCIAL DE UNIDAD NACIONAL;24.914985264112445;NA;NA;0;1;1;1;-3.854001360235774;1
1;ANTIOQUIA;139;GRANADA;2011;PARTIDO CAMBIO RADICAL;49.43496565477509;PARTIDO CONSERVADOR COLOMBIANO;35.25371150011079;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;140;GUADALUPE;2011;PARTIDO LIBERAL COLOMBIANO;49.579288025889966;PARTIDO CONSERVADOR COLOMBIANO;42.394822006472495;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;142;GUARNE;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;32.66734394401174;PARTIDO CONSERVADOR COLOMBIANO;31.363585054746583;NA;NA;1;0;1;1;1.3037588892651577;1
1;ANTIOQUIA;145;GUATAPE;2011;G.S.C UNIDOS POR GUATAPE;45.92979835698282;PARTIDO SOCIAL DE UNIDAD NACIONAL;28.27981080408265;NA;NA;0;1;0;1;-17.64998755290017;0
1;ANTIOQUIA;148;HELICONIA;2011;PARTIDO DE INTEGRACION NACIONAL;53.242793791574286;PARTIDO SOCIAL DE UNIDAD NACIONAL;28.104212860310422;NA;NA;0;1;0;1;-25.138580931263864;0
1;ANTIOQUIA;150;HISPANIA;2011;PARTIDO CONSERVADOR COLOMBIANO;48.65565273728539;PARTIDO LIBERAL COLOMBIANO;39.97408487204406;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;151;ITAGUI;2011;PARTIDO CONSERVADOR COLOMBIANO;37.72834197081633;PARTIDO CAMBIO RADICAL;30.392913588414743;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;154;ITUANGO;2011;PARTIDO CONSERVADOR COLOMBIANO;62.62338966036474;PARTIDO LIBERAL COLOMBIANO;20.64580893424795;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;157;JARDIN;2011;G.S.C JARDIN HECHOS DE VERDAD;42.62182566918325;PARTIDO CONSERVADOR COLOMBIANO;28.5929993136582;NA;NA;0;0;0;1;NA;0
1;ANTIOQUIA;160;JERICO;2011;PARTIDO CAMBIO RADICAL;55.30759951749096;PARTIDO SOCIAL DE UNIDAD NACIONAL;18.5313630880579;NA;NA;0;1;1;1;-36.776236429433055;0
1;ANTIOQUIA;163;LA CEJA;2011;MOVIMIENTO DE INCLUSION Y OPORTUNIDADES;41.23132232333446;PARTIDO SOCIAL DE UNIDAD NACIONAL;34.79384338838333;NA;NA;0;1;0;1;-6.43747893495113;1
1;ANTIOQUIA;166;LA ESTRELLA;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;39.17378280502526;PARTIDO CONSERVADOR COLOMBIANO;24.075647158760674;NA;NA;1;0;1;1;15.098135646264588;0
1;ANTIOQUIA;168;PUERTO NARE;2011;PARTIDO CAMBIO RADICAL;55.85646580907244;PARTIDO SOCIAL DE UNIDAD NACIONAL;38.5104942450914;NA;NA;0;1;1;1;-17.34597156398104;0
1;ANTIOQUIA;169;LA UNION;2011;PARTIDO LIBERAL COLOMBIANO;27.77611194402799;PARTIDO CAMBIO RADICAL;20.789605197401297;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;170;LA PINTADA;2011;PARTIDO CAMBIO RADICAL;45.86603872318158;PARTIDO LIBERAL COLOMBIANO;34.11826268969126;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;172;LIBORINA;2011;PARTIDO CONSERVADOR COLOMBIANO;50.48051721125284;PARTIDO CAMBIO RADICAL;47.19552682159707;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;175;MACEO;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;41.55938790381345;PARTIDO CONSERVADOR COLOMBIANO;27.350012144765607;NA;NA;1;0;1;1;14.209375759047845;0
1;ANTIOQUIA;178;MARINILLA;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;52.998776009791925;PARTIDO CAMBIO RADICAL;16.900856793145653;NA;NA;1;0;1;1;36.097919216646275;0
1;ANTIOQUIA;181;MONTEBELLO;2011;PARTIDO CONSERVADOR COLOMBIANO;52.11074561403509;PARTIDO LIBERAL COLOMBIANO;43.22916666666667;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;184;MURINDO;2011;MOVIMIENTO POLITICO AFROVIDES;39.130434782608695;PARTIDO ALIANZA SOCIAL INDEPENDIENTE;20.28985507246377;NA;NA;0;0;0;0;NA;0
1;ANTIOQUIA;187;MUTATA;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;39.01521933751119;PARTIDO DE INTEGRACION NACIONAL;18.710832587287378;NA;NA;1;0;1;0;20.304386750223813;0
1;ANTIOQUIA;190;NARINO;2011;PARTIDO CONSERVADOR COLOMBIANO;64.03242147923;PARTIDO DE INTEGRACION NACIONAL;29.037487335359675;NA;NA;0;0;1;0;NA;0
1;ANTIOQUIA;191;NECHI;2011;PARTIDO CAMBIO RADICAL;48.28939424431476;PARTIDO ALIANZA SOCIAL INDEPENDIENTE;43.207888911249746;NA;NA;0;0;1;0;NA;0
1;ANTIOQUIA;192;NECOCLI;2011;PARTIDO ALIANZA SOCIAL INDEPENDIENTE;36.13703683004527;PARTIDO LIBERAL COLOMBIANO;30.11233443245962;NA;NA;0;0;0;1;NA;0
1;ANTIOQUIA;193;OLAYA;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;54.2957042957043;PARTIDO CONSERVADOR COLOMBIANO;43.55644355644356;NA;NA;1;0;1;1;10.739260739260736;0
1;ANTIOQUIA;196;PENOL;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;45.46108646120638;PARTIDO CAMBIO RADICAL;21.273533996882122;NA;NA;1;0;1;1;24.187552464324256;0
1;ANTIOQUIA;199;PEQUE;2011;PARTIDO LIBERAL COLOMBIANO;58.623668298301176;PARTIDO SOCIAL DE UNIDAD NACIONAL;38.4969766772243;NA;NA;0;1;1;1;-20.126691621076873;0
1;ANTIOQUIA;202;PUEBLORRICO;2011;PARTIDO LIBERAL COLOMBIANO;48.80921895006402;PARTIDO CONSERVADOR COLOMBIANO;33.444302176696546;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;205;PUERTO BERRIO;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;53.460103502226495;PARTIDO LIBERAL COLOMBIANO;15.561439403056927;NA;NA;1;0;1;1;37.898664099169565;0
1;ANTIOQUIA;206;PUERTO TRIUNFO;2011;PARTIDO CONSERVADOR COLOMBIANO;62.4951768488746;PARTIDO SOCIAL DE UNIDAD NACIONAL;34.173633440514465;NA;NA;0;1;1;1;-28.321543408360135;0
1;ANTIOQUIA;208;REMEDIOS;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;56.15023474178403;PARTIDO VERDE;33.668678739101274;NA;NA;1;0;1;0;22.48155600268276;0
1;ANTIOQUIA;211;RETIRO;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;34.16034669555796;PARTIDO CONSERVADOR COLOMBIANO;26.58721560130011;NA;NA;1;0;1;1;7.573131094257853;1
1;ANTIOQUIA;214;RIONEGRO;2011;PARTIDO ALIANZA SOCIAL INDEPENDIENTE;37.65171453998069;MOV. AICO - GRUPO SIGNIFICA. RIONEGRO CONFIABLE;12.23183685834927;NA;NA;0;0;0;0;NA;0
1;ANTIOQUIA;217;SABANALARGA;2011;PARTIDO CONSERVADOR COLOMBIANO;41.173804668026285;MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA;36.02991162474507;NA;NA;0;0;1;0;NA;0
1;ANTIOQUIA;218;SABANETA;2011;PARTIDO CONSERVADOR COLOMBIANO;29.820768807483688;MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA;29.54956371354453;NA;NA;0;0;1;0;NA;0
1;ANTIOQUIA;220;SALGAR;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;50.90909090909091;PARTIDO LIBERAL COLOMBIANO;32.80701754385965;NA;NA;1;0;1;1;18.102073365231256;0
1;ANTIOQUIA;223;SAN ANDRES DE CUERQUIA;2011;MOVIMIENTO POLITICO AFROVIDES;57.600864553314125;PARTIDO CONSERVADOR COLOMBIANO;19.992795389048993;NA;NA;0;0;0;1;NA;0
1;ANTIOQUIA;226;SAN CARLOS;2011;MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA;24.16230736603987;PARTIDO DE INTEGRACION NACIONAL;23.48367029548989;NA;NA;0;0;0;0;NA;0
1;ANTIOQUIA;227;SAN FRANCISCO;2011;PARTIDO CAMBIO RADICAL;37.09729905629678;PARTIDO VERDE;36.413927757891315;NA;NA;0;0;1;0;NA;0
1;ANTIOQUIA;229;SAN JERONIMO;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;44.43788728238419;PARTIDO LIBERAL COLOMBIANO;24.22543523163175;NA;NA;1;0;1;1;20.21245205075244;0
1;ANTIOQUIA;230;SAN JOSE DE LA MONTANA;2011;PARTIDO ALIANZA SOCIAL INDEPENDIENTE;60.89295320064551;PARTIDO CONSERVADOR COLOMBIANO;36.30984400215169;NA;NA;0;0;0;1;NA;0
1;ANTIOQUIA;231;SAN JUAN DE URABA;2011;PARTIDO LIBERAL COLOMBIANO;35.462459194776926;PARTIDO SOCIAL DE UNIDAD NACIONAL;33.23177366702938;NA;NA;0;1;1;1;-2.2306855277475464;1
1;ANTIOQUIA;232;SAN LUIS;2011;PARTIDO CONSERVADOR COLOMBIANO;49.837382819973215;PARTIDO SOCIAL DE UNIDAD NACIONAL;22.479433709584846;NA;NA;0;1;1;1;-27.35794911038837;0
1;ANTIOQUIA;235;SAN PEDRO;2011;PARTIDO CONSERVADOR COLOMBIANO;38.50030857848179;PARTIDO LIBERAL COLOMBIANO;31.92758691627237;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;237;SAN PEDRO DE URABA;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;35.56541019955654;PARTIDO CAMBIO RADICAL;29.534368070953438;NA;NA;1;0;1;1;6.031042128603101;1
1;ANTIOQUIA;238;SAN RAFAEL;2011;PARTIDO CAMBIO RADICAL;41.6892180601054;PARTIDO CONSERVADOR COLOMBIANO;39.88035892323031;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;241;SAN ROQUE;2011;PARTIDO CONSERVADOR COLOMBIANO;55.38645895745956;PARTIDO SOCIAL DE UNIDAD NACIONAL;39.424805272618336;NA;NA;0;1;1;1;-15.961653684841224;0
1;ANTIOQUIA;244;SAN VICENTE;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;52.990627113730795;PARTIDO CONSERVADOR COLOMBIANO;43.9172866943666;NA;NA;1;0;1;1;9.073340419364193;1
1;ANTIOQUIA;247;SANTA BARBARA;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;42.90827368070585;PARTIDO LIBERAL COLOMBIANO;33.63575828200433;NA;NA;1;0;1;1;9.272515398701515;1
1;ANTIOQUIA;250;SANTA ROSA DE OSOS;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;47.05442685329891;PARTIDO CONSERVADOR COLOMBIANO;42.44750968267989;NA;NA;1;0;1;1;4.606917170619013;1
1;ANTIOQUIA;253;SANTO DOMINGO;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;59.157546975015485;PARTIDO DE INTEGRACION NACIONAL;26.36795374767706;NA;NA;1;0;1;0;32.78959322733843;0
1;ANTIOQUIA;256;EL SANTUARIO;2011;PARTIDO CONSERVADOR COLOMBIANO;69.52715846176866;PARTIDO VERDE;14.881041448451294;NA;NA;0;0;1;0;NA;0
1;ANTIOQUIA;259;SEGOVIA;2011;PARTIDO LIBERAL - ASI - PARTIDO DE INTEGRACIÓN NACIONAL;26.48851383028598;PARTIDO CONSERVADOR COLOMBIANO;17.121425222691045;NA;NA;0;0;0;1;NA;0
1;ANTIOQUIA;262;SONSON;2011;PARTIDO CONSERVADOR COLOMBIANO;51.59782832794997;PARTIDO SOCIAL DE UNIDAD NACIONAL;30.609580097587795;NA;NA;0;1;1;1;-20.988248230362174;0
1;ANTIOQUIA;265;SOPETRAN;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;38.90755075215423;PARTIDO VERDE;32.43756389659705;NA;NA;1;0;1;0;6.469986855557181;1
1;ANTIOQUIA;268;TAMESIS;2011;PARTIDO CONSERVADOR COLOMBIANO;51.50023441162682;PARTIDO SOCIAL DE UNIDAD NACIONAL;25.796999531176745;NA;NA;0;1;1;1;-25.703234880450076;0
1;ANTIOQUIA;270;TARAZA;2011;PARTIDO CAMBIO RADICAL;52.74949083503056;PARTIDO LIBERAL COLOMBIANO;39.128309572301426;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;271;TARSO;2011;PARTIDO LIBERAL COLOMBIANO;37.92707436118289;G.S.C MOVIMIENTO COMUNITARIO E INDEPENDIENTE DE TARSO;32.98880275624462;NA;NA;0;0;1;0;NA;0
1;ANTIOQUIA;274;TITIRIBI;2011;PARTIDO LIBERAL COLOMBIANO;52.60128403807837;PARTIDO SOCIAL DE UNIDAD NACIONAL;22.24928049590436;NA;NA;0;1;1;1;-30.352003542174007;0
1;ANTIOQUIA;277;TOLEDO;2011;PARTIDO CONSERVADOR COLOMBIANO;72.65882352941176;PARTIDO VERDE;19.435294117647057;NA;NA;0;0;1;0;NA;0
1;ANTIOQUIA;280;TURBO;2011;PARTIDO CONSERVADOR COLOMBIANO - MOVIMIENTO CIVICO TU ERES TURBO;37.27525316310363;PARTIDO LIBERAL COLOMBIANO;23.132563319479207;NA;NA;0;0;0;1;NA;0
1;ANTIOQUIA;282;URAMITA;2011;PARTIDO CONSERVADOR COLOMBIANO;60.61444782729034;PARTIDO LIBERAL COLOMBIANO;36.31331303625795;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;283;URRAO;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;39.11271210541283;PARTIDO ALIANZA SOCIAL INDEPENDIENTE;27.519196132334816;NA;NA;1;0;1;0;11.593515973078016;0
1;ANTIOQUIA;286;VALDIVIA;2011;PARTIDO LIBERAL COLOMBIANO;62.56253025657577;PARTIDO CONSERVADOR COLOMBIANO;32.305954494110054;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;289;VALPARAISO;2011;PARTIDO CONSERVADOR COLOMBIANO;42.51748251748252;PARTIDO SOCIAL DE UNIDAD NACIONAL;37.14685314685315;NA;NA;0;1;1;1;-5.3706293706293735;1
1;ANTIOQUIA;290;VEGACHI;2011;PARTIDO CONSERVADOR COLOMBIANO;43.371617675686196;PARTIDO CAMBIO RADICAL;18.61008370644345;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;291;VIGIA DEL FUERTE;2011;MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA;36.077402427025255;MOVIMIENTO POLITICO AFROVIDES;30.69858970154149;NA;NA;0;0;0;0;NA;0
1;ANTIOQUIA;292;VENECIA;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;29.860450364732;PARTIDO CONSERVADOR COLOMBIANO;28.116079923882015;NA;NA;1;0;1;1;1.744370440849984;1
1;ANTIOQUIA;293;YALI;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;58.52366765971533;PARTIDO CONSERVADOR COLOMBIANO;35.518040383978814;NA;NA;1;0;1;1;23.005627275736515;0
1;ANTIOQUIA;295;YARUMAL;2011;PARTIDO LIBERAL COLOMBIANO;41.24511203525542;PARTIDO CONSERVADOR COLOMBIANO;24.722239463720438;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;298;YOLOMBO;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;53.13548387096774;PARTIDO CONSERVADOR COLOMBIANO;31.587096774193547;NA;NA;1;0;1;1;21.548387096774192;0
